text
Stupid Racist Trump Wannabes Making Their Own Gloriously Stupid And Racist Campaign Ads   https://t.co/6zkdfl9SJ8 https://t.co/SAiQVckRL4
Ben Carson So Mad Obama Sold Harriet Tubman Into Slavery Again   https://t.co/7q5YQeCMbr https://t.co/qBprXDrm7W
O’Reilly Henchbro Jesse Watters Tricks Millennials Into Saying Fairly Reasonable Things   https://t.co/mpza7R1Y95 https://t.co/v88IggqbGS
‘Fox &amp; Friends’ Jackholes Know Who Will Pick The Next President And It Is Jesus   https://t.co/yGsFSTirJn https://t.co/sUcU2UxwFM
Bill Cosby Fails To Sedate Appeals Court https://t.co/PqVBPyRqDB   https://t.co/6Mj8xHG8Kt
"Customer Wins $12,000 Judgment Against Steakhouse, Errybody Wants Us To Shout About It    https://t.co/myF1FS5OaS https://t.co/weiilD65To"
"Lawyer Sues Over $2.25 Cup Of Soup, Because Sure Why Not    https://t.co/vlh5XCXeUw via @EyePatchGuy https://t.co/l6PGH67xNs"
"Sara Benincasa’s ‘Real Artists Have Day Jobs’ Comprises Many Chapters, Words. Buy It!    https://t.co/EUXfLE1qnn https://t.co/xoqNYTc4Y7"
Colorado Supreme Court Tells Gay-Hatin’ Baker To Go Choke On Some Cake Batter    https://t.co/tafFOUcrXE https://t.co/thGINzODeE
"Tamir Rice’s Family Gets $6 Million Settlement, Not Their Kid Back    https://t.co/O2EzaYfhWL https://t.co/dHVtpCWCzj"
Texan Input On Renaming ‘Robert E. Lee’ School Goes About As Well As You’d Expect    https://t.co/4vEHuC23tQ https://t.co/ODZKU8DVxM
Stupid Racist Trump Wannabes Making Their Own Gloriously Stupid And Racist Campaign Ads     https://t.co/6zkdfl9SJ8 https://t.co/SAiQVckRL4
Ben Carson So Mad Obama Sold Harriet Tubman Into Slavery Again     https://t.co/7q5YQeCMbr https://t.co/qBprXDrm7W
O’Reilly Henchbro Jesse Watters Tricks Millennials Into Saying Fairly Reasonable Things     https://t.co/mpza7R1Y95 https://t.co/v88IggqbGS
‘Fox &amp; Friends’ Jackholes Know Who Will Pick The Next President And It Is Jesus     https://t.co/yGsFSTirJn https://t.co/sUcU2UxwFM
NOPE. NOPE NOPE NOPE. BIG OLE NOPE. NOT OK.  https://t.co/myF1FS5OaS
Bill Cosby Fails To Sedate Appeals Court https://t.co/PqVBPyRqDB     https://t.co/6Mj8xHG8Kt
"The entire legal system could not be reached for comment, because it was far too busy laughing hysterically.  https://t.co/vlh5XCXeUw"
"Customer Wins $12,000 Judgment Against Steakhouse, Errybody Wants Us To Shout About It     https://t.co/myF1FS5OaS https://t.co/weiilD65To"
"Lawyer Sues Over $2.25 Cup Of Soup, Because Sure Why Not     https://t.co/vlh5XCXeUw via @EyePatchGuy https://t.co/l6PGH67xNs"
"Sara Benincasa’s ‘Real Artists Have Day Jobs’ Comprises Many Chapters, Words. Buy It!     https://t.co/EUXfLE1qnn https://t.co/xoqNYTc4Y7"
"Dig a fresh grave, y’all, we gots another Christian martyr to bury.  https://t.co/tafFOUcrXE"
Colorado Supreme Court Tells Gay-Hatin’ Baker To Go Choke On Some Cake Batter     https://t.co/tafFOUcrXE https://t.co/thGINzODeE
"We don’t know why these white dudes are such pussies, but we trust God has a plan for them.  https://t.co/dHhfQ87oi7"
We knew Beyoncé was a multi-tasker but OMG.  https://t.co/dHhfQ87oi7
"DRUDGE SIRENS! Beyoncé Murdering White America For The CIA!
    https://t.co/dHhfQ87oi7 via @EvanHurst https://t.co/sIluJUOY5D"
